iter	Passed	Remaining
455	848	1012
456	850	1010
457	851	1008
458	854	1006
459	855	1004
460	857	1002
461	859	1000
462	861	998
463	862	996
464	864	994
465	866	993
466	868	991
467	870	989
468	872	987
469	874	985
470	875	983
471	877	981
472	879	980
473	881	978
474	883	976
475	884	974
476	886	972
477	888	970
478	890	968
479	891	966
480	893	964
481	895	962
482	897	960
483	898	958
484	900	956
485	902	954
486	904	952
487	906	950
488	907	948
489	909	946
490	911	944
491	913	943
492	915	941
493	916	939
494	918	937
495	920	935
496	922	933
497	924	932
498	926	930
499	928	928
500	930	926
501	931	924
502	933	922
503	935	920
504	937	918
505	939	916
506	940	914
507	942	912
508	944	910
509	946	909
510	948	907
511	949	905
512	952	903
513	954	902
514	955	900
515	957	898
516	959	896
517	961	894
518	963	892
519	965	890
520	966	889
521	968	887
522	970	885
523	972	883
524	974	881
525	975	879
526	977	877
527	979	875
528	981	873
529	982	871
530	984	869
531	986	868
532	988	866
533	990	864
534	992	862
535	993	860
536	995	858
537	997	856
538	999	854
539	1001	852
540	1002	850
541	1004	848
542	1006	847
543	1008	845
544	1010	843
545	1011	841
546	1013	839
547	1015	837
548	1017	835
549	1019	833
550	1021	832
551	1023	830
552	1025	828
553	1027	826
554	1028	824
555	1030	822
556	1032	820
557	1034	819
558	1035	817
559	1037	815
560	1039	813
561	1041	811
562	1043	809
563	1044	807
564	1046	805
565	1048	803
566	1050	801
567	1051	800
568	1053	798
569	1055	796
570	1057	794
571	1059	792
572	1061	790
573	1062	788
574	1064	786
575	1066	784
576	1068	783
577	1070	781
578	1071	779
579	1073	777
580	1075	775
581	1077	773
582	1079	772
583	1081	770
584	1082	768
585	1084	766
586	1086	764
587	1088	762
588	1089	760
589	1091	758
590	1093	756
591	1095	754
592	1096	752
593	1098	750
594	1100	749
595	1102	747
596	1104	745
597	1106	743
598	1108	741
599	1109	739
600	1111	737
601	1113	735
602	1115	734
603	1117	732
604	1118	730
605	1120	728
606	1122	726
607	1124	725
608	1126	723
609	1128	721
610	1129	719
611	1131	717
612	1133	715
613	1135	713
614	1137	711
615	1138	709
616	1140	708
617	1142	706
618	1144	704
619	1146	702
620	1148	700
621	1149	698
622	1151	696
623	1153	694
624	1155	693
625	1156	691
626	1158	689
627	1160	687
628	1162	685
629	1164	683
630	1165	681
631	1167	679
632	1169	678
633	1171	676
634	1173	674
635	1175	672
636	1176	670
637	1178	668
638	1180	666
639	1182	664
640	1183	663
641	1185	661
642	1187	659
643	1189	657
644	1190	655
645	1192	653
646	1194	651
647	1196	649
648	1197	647
649	1199	645
650	1201	644
651	1203	642
652	1205	640
653	1206	638
654	1208	636
655	1210	634
656	1212	632
657	1213	630
658	1216	629
659	1217	627
660	1219	625
661	1221	623
662	1223	621
663	1225	619
664	1226	618
665	1228	616
666	1230	614
667	1232	612
668	1233	610
669	1235	608
670	1237	606
671	1239	604
672	1241	603
673	1243	601
674	1245	599
675	1246	597
676	1248	595
677	1250	593
678	1252	591
679	1253	590
680	1255	588
681	1257	586
682	1259	584
683	1260	582
684	1262	580
685	1264	578
686	1266	576
687	1268	575
688	1269	573
689	1271	571
690	1273	569
691	1275	567
692	1277	565
693	1278	563
694	1280	561
695	1282	560
696	1284	558
697	1285	556
698	1287	554
699	1289	552
700	1290	550
701	1292	548
702	1294	546
703	1296	545
704	1298	543
705	1299	541
706	1301	539
707	1303	537
708	1305	535
709	1306	533
710	1308	531
711	1310	530
712	1312	528
713	1313	526
714	1315	524
715	1317	522
716	1319	520
717	1320	518
718	1323	517
719	1324	515
720	1326	513
721	1328	511
722	1330	509
723	1332	507
724	1333	505
725	1335	504
726	1337	502
727	1339	500
728	1341	498
729	1343	496
730	1345	495
731	1346	493
732	1348	491
733	1350	489
734	1352	487
735	1353	485
736	1355	483
737	1357	481
738	1359	480
739	1360	478
740	1362	476
741	1364	474
742	1366	472
743	1368	470
744	1369	468
745	1371	466
746	1373	465
747	1375	463
748	1376	461
749	1378	459
750	1380	457
751	1382	455
752	1383	453
753	1385	452
754	1387	450
755	1389	448
756	1390	446
757	1392	444
758	1394	442
759	1396	440
760	1397	438
761	1399	437
762	1401	435
763	1403	433
764	1405	431
765	1406	429
766	1408	427
767	1410	426
768	1412	424
769	1413	422
770	1415	420
771	1417	418
772	1419	416
773	1421	414
774	1422	413
775	1424	411
776	1426	409
777	1428	407
778	1430	405
779	1432	403
780	1433	402
781	1435	400
782	1437	398
783	1439	396
784	1441	394
785	1442	392
786	1444	390
787	1446	389
788	1448	387
789	1449	385
790	1451	383
791	1453	381
792	1455	379
793	1457	378
794	1458	376
795	1460	374
796	1462	372
797	1464	370
798	1466	368
799	1467	366
800	1469	365
801	1471	363
802	1473	361
803	1474	359
804	1476	357
805	1478	355
806	1480	354
807	1482	352
808	1483	350
809	1485	348
810	1487	346
811	1489	344
812	1491	343
813	1493	341
814	1494	339
815	1496	337
816	1498	335
817	1500	333
818	1501	331
819	1503	330
820	1505	328
821	1507	326
822	1509	324
823	1511	322
824	1512	320
825	1514	319
826	1516	317
827	1518	315
828	1519	313
829	1521	311
830	1523	309
831	1525	308
832	1527	306
833	1529	304
834	1531	302
835	1532	300
836	1534	298
837	1536	297
838	1538	295
839	1540	293
840	1542	291
841	1543	289
842	1545	287
843	1547	286
844	1549	284
845	1551	282
846	1553	280
847	1554	278
848	1556	276
849	1558	275
850	1560	273
851	1562	271
852	1564	269
853	1565	267
854	1567	265
855	1569	263
856	1570	262
857	1572	260
858	1574	258
859	1576	256
860	1578	254
861	1579	252
862	1581	251
863	1583	249
864	1585	247
865	1587	245
866	1588	243
867	1590	241
868	1592	240
869	1594	238
870	1596	236
871	1598	234
872	1599	232
873	1601	230
874	1603	229
875	1605	227
876	1607	225
877	1608	223
878	1610	221
879	1612	219
880	1614	218
881	1616	216
882	1617	214
883	1619	212
884	1621	210
885	1623	208
886	1625	207
887	1627	205
888	1629	203
889	1631	201
890	1633	199
891	1635	198
892	1637	196
893	1639	194
894	1641	192
895	1643	190
896	1645	188
897	1647	187
898	1649	185
899	1651	183
900	1653	181
901	1655	179
902	1657	178
903	1658	176
904	1660	174
905	1662	172
906	1664	170
907	1666	168
908	1667	166
909	1669	165
910	1671	163
911	1673	161
912	1674	159
913	1676	157
914	1678	155
915	1680	154
916	1682	152
917	1683	150
918	1685	148
919	1687	146
920	1688	144
921	1690	143
922	1692	141
923	1694	139
924	1696	137
925	1698	135
926	1699	133
927	1701	132
928	1703	130
929	1705	128
930	1706	126
931	1708	124
932	1710	122
933	1712	120
934	1713	119
935	1715	117
936	1717	115
937	1719	113
938	1721	111
939	1722	109
940	1724	108
941	1726	106
942	1728	104
943	1730	102
944	1732	100
945	1734	98
946	1735	97
947	1737	95
948	1739	93
949	1741	91
950	1743	89
951	1745	87
952	1746	86
953	1748	84
954	1750	82
955	1752	80
956	1754	78
957	1755	76
958	1757	75
959	1759	73
960	1761	71
961	1762	69
962	1764	67
963	1766	65
964	1768	64
965	1769	62
966	1771	60
967	1773	58
968	1775	56
969	1777	54
970	1778	53
971	1780	51
972	1782	49
973	1784	47
974	1786	45
975	1788	43
976	1790	42
977	1791	40
978	1793	38
979	1795	36
980	1797	34
981	1798	32
982	1800	31
983	1802	29
984	1804	27
985	1805	25
986	1807	23
987	1809	21
988	1811	20
989	1813	18
990	1815	16
991	1816	14
992	1818	12
993	1820	10
994	1822	9
995	1824	7
996	1826	5
997	1828	3
998	1830	1
999	1831	0
