Modelo,Combinación de Características,Puntaje R^2
RandomForestRegressor,"fixed acidity, volatile acidity, residual sugar, chlorides, free sulfur dioxide, total sulfur dioxide",0.23210931250536437
RandomForestRegressor,"fixed acidity, volatile acidity, residual sugar, chlorides, free sulfur dioxide, density",0.23486190026607145
RandomForestRegressor,"fixed acidity, volatile acidity, residual sugar, chlorides, free sulfur dioxide, pH",0.184099150287529
RandomForestRegressor,"fixed acidity, volatile acidity, residual sugar, chlorides, free sulfur dioxide, sulphates",0.32209437816496433
RandomForestRegressor,"fixed acidity, volatile acidity, residual sugar, chlorides, free sulfur dioxide, alcohol",0.3709922238434469
RandomForestRegressor,"fixed acidity, volatile acidity, residual sugar, chlorides, total sulfur dioxide, density",0.2685405887906618
RandomForestRegressor,"fixed acidity, volatile acidity, residual sugar, chlorides, total sulfur dioxide, pH",0.2297115784052871
RandomForestRegressor,"fixed acidity, volatile acidity, residual sugar, chlorides, total sulfur dioxide, sulphates",0.3423528967470604
RandomForestRegressor,"fixed acidity, volatile acidity, residual sugar, chlorides, total sulfur dioxide, alcohol",0.3734371985237318
RandomForestRegressor,"fixed acidity, volatile acidity, residual sugar, chlorides, density, pH",0.22759563985923958
RandomForestRegressor,"fixed acidity, volatile acidity, residual sugar, chlorides, density, sulphates",0.3578390181100334
RandomForestRegressor,"fixed acidity, volatile acidity, residual sugar, chlorides, density, alcohol",0.34621289159728785
RandomForestRegressor,"fixed acidity, volatile acidity, residual sugar, chlorides, pH, sulphates",0.25874915457900594
RandomForestRegressor,"fixed acidity, volatile acidity, residual sugar, chlorides, pH, alcohol",0.34425570337310096
RandomForestRegressor,"fixed acidity, volatile acidity, residual sugar, chlorides, sulphates, alcohol",0.3761941807570167
RandomForestRegressor,"fixed acidity, volatile acidity, residual sugar, free sulfur dioxide, total sulfur dioxide, density",0.2862239464423655
RandomForestRegressor,"fixed acidity, volatile acidity, residual sugar, free sulfur dioxide, total sulfur dioxide, pH",0.3047944382456441
RandomForestRegressor,"fixed acidity, volatile acidity, residual sugar, free sulfur dioxide, total sulfur dioxide, sulphates",0.3892100592223844
RandomForestRegressor,"fixed acidity, volatile acidity, residual sugar, free sulfur dioxide, total sulfur dioxide, alcohol",0.4199916917002833
RandomForestRegressor,"fixed acidity, volatile acidity, residual sugar, free sulfur dioxide, density, pH",0.25920398249077337
RandomForestRegressor,"fixed acidity, volatile acidity, residual sugar, free sulfur dioxide, density, sulphates",0.36463232340571616
RandomForestRegressor,"fixed acidity, volatile acidity, residual sugar, free sulfur dioxide, density, alcohol",0.3944647498068835
RandomForestRegressor,"fixed acidity, volatile acidity, residual sugar, free sulfur dioxide, pH, sulphates",0.3317331044545533
RandomForestRegressor,"fixed acidity, volatile acidity, residual sugar, free sulfur dioxide, pH, alcohol",0.38981649643807403
RandomForestRegressor,"fixed acidity, volatile acidity, residual sugar, free sulfur dioxide, sulphates, alcohol",0.40368325465625265
RandomForestRegressor,"fixed acidity, volatile acidity, residual sugar, total sulfur dioxide, density, pH",0.2769823706119646
RandomForestRegressor,"fixed acidity, volatile acidity, residual sugar, total sulfur dioxide, density, sulphates",0.42153360226589986
RandomForestRegressor,"fixed acidity, volatile acidity, residual sugar, total sulfur dioxide, density, alcohol",0.40323501845335163
RandomForestRegressor,"fixed acidity, volatile acidity, residual sugar, total sulfur dioxide, pH, sulphates",0.3727950562183503
RandomForestRegressor,"fixed acidity, volatile acidity, residual sugar, total sulfur dioxide, pH, alcohol",0.4053608445626985
RandomForestRegressor,"fixed acidity, volatile acidity, residual sugar, total sulfur dioxide, sulphates, alcohol",0.4274595485366064
RandomForestRegressor,"fixed acidity, volatile acidity, residual sugar, density, pH, sulphates",0.3584696249248991
RandomForestRegressor,"fixed acidity, volatile acidity, residual sugar, density, pH, alcohol",0.358670672045318
RandomForestRegressor,"fixed acidity, volatile acidity, residual sugar, density, sulphates, alcohol",0.4071840013732727
RandomForestRegressor,"fixed acidity, volatile acidity, residual sugar, pH, sulphates, alcohol",0.40694999570852286
RandomForestRegressor,"fixed acidity, volatile acidity, chlorides, free sulfur dioxide, total sulfur dioxide, density",0.23712120847995877
RandomForestRegressor,"fixed acidity, volatile acidity, chlorides, free sulfur dioxide, total sulfur dioxide, pH",0.24016547935799504
RandomForestRegressor,"fixed acidity, volatile acidity, chlorides, free sulfur dioxide, total sulfur dioxide, sulphates",0.3599225474208222
RandomForestRegressor,"fixed acidity, volatile acidity, chlorides, free sulfur dioxide, total sulfur dioxide, alcohol",0.34618762337996745
RandomForestRegressor,"fixed acidity, volatile acidity, chlorides, free sulfur dioxide, density, pH",0.21311200755299964
RandomForestRegressor,"fixed acidity, volatile acidity, chlorides, free sulfur dioxide, density, sulphates",0.38493313878637025
RandomForestRegressor,"fixed acidity, volatile acidity, chlorides, free sulfur dioxide, density, alcohol",0.3896055617543558
RandomForestRegressor,"fixed acidity, volatile acidity, chlorides, free sulfur dioxide, pH, sulphates",0.3141733413440907
RandomForestRegressor,"fixed acidity, volatile acidity, chlorides, free sulfur dioxide, pH, alcohol",0.3714360655737704
RandomForestRegressor,"fixed acidity, volatile acidity, chlorides, free sulfur dioxide, sulphates, alcohol",0.4094916487855119
RandomForestRegressor,"fixed acidity, volatile acidity, chlorides, total sulfur dioxide, density, pH",0.2373387348725431
RandomForestRegressor,"fixed acidity, volatile acidity, chlorides, total sulfur dioxide, density, sulphates",0.41868213887219985
RandomForestRegressor,"fixed acidity, volatile acidity, chlorides, total sulfur dioxide, density, alcohol",0.3775355935112866
RandomForestRegressor,"fixed acidity, volatile acidity, chlorides, total sulfur dioxide, pH, sulphates",0.3524958887649129
RandomForestRegressor,"fixed acidity, volatile acidity, chlorides, total sulfur dioxide, pH, alcohol",0.3698644923182559
RandomForestRegressor,"fixed acidity, volatile acidity, chlorides, total sulfur dioxide, sulphates, alcohol",0.4325499957085229
RandomForestRegressor,"fixed acidity, volatile acidity, chlorides, density, pH, sulphates",0.37118338340056645
RandomForestRegressor,"fixed acidity, volatile acidity, chlorides, density, pH, alcohol",0.367371178439619
RandomForestRegressor,"fixed acidity, volatile acidity, chlorides, density, sulphates, alcohol",0.4070532658140932
RandomForestRegressor,"fixed acidity, volatile acidity, chlorides, pH, sulphates, alcohol",0.41395588361514035
RandomForestRegressor,"fixed acidity, volatile acidity, free sulfur dioxide, total sulfur dioxide, density, pH",0.27278894515492236
RandomForestRegressor,"fixed acidity, volatile acidity, free sulfur dioxide, total sulfur dioxide, density, sulphates",0.42081345807226844
RandomForestRegressor,"fixed acidity, volatile acidity, free sulfur dioxide, total sulfur dioxide, density, alcohol",0.40122235001287443
RandomForestRegressor,"fixed acidity, volatile acidity, free sulfur dioxide, total sulfur dioxide, pH, sulphates",0.41114836494721485
RandomForestRegressor,"fixed acidity, volatile acidity, free sulfur dioxide, total sulfur dioxide, pH, alcohol",0.4100618316024376
RandomForestRegressor,"fixed acidity, volatile acidity, free sulfur dioxide, total sulfur dioxide, sulphates, alcohol",0.442643549909879
RandomForestRegressor,"fixed acidity, volatile acidity, free sulfur dioxide, density, pH, sulphates",0.39811875375504246
RandomForestRegressor,"fixed acidity, volatile acidity, free sulfur dioxide, density, pH, alcohol",0.39370340743283827
RandomForestRegressor,"fixed acidity, volatile acidity, free sulfur dioxide, density, sulphates, alcohol",0.41756759076474126
RandomForestRegressor,"fixed acidity, volatile acidity, free sulfur dioxide, pH, sulphates, alcohol",0.44197888593253787
RandomForestRegressor,"fixed acidity, volatile acidity, total sulfur dioxide, density, pH, sulphates",0.4337722083941292
RandomForestRegressor,"fixed acidity, volatile acidity, total sulfur dioxide, density, pH, alcohol",0.39463064114668267
RandomForestRegressor,"fixed acidity, volatile acidity, total sulfur dioxide, density, sulphates, alcohol",0.4364303149944211
RandomForestRegressor,"fixed acidity, volatile acidity, total sulfur dioxide, pH, sulphates, alcohol",0.4528672903613423
RandomForestRegressor,"fixed acidity, volatile acidity, density, pH, sulphates, alcohol",0.3982341086602008
RandomForestRegressor,"fixed acidity, citric acid, residual sugar, chlorides, free sulfur dioxide, total sulfur dioxide",0.21883910393957606
RandomForestRegressor,"fixed acidity, citric acid, residual sugar, chlorides, free sulfur dioxide, density",0.28487813921551797
RandomForestRegressor,"fixed acidity, citric acid, residual sugar, chlorides, free sulfur dioxide, pH",0.187443343918977
RandomForestRegressor,"fixed acidity, citric acid, residual sugar, chlorides, free sulfur dioxide, sulphates",0.2999676594283752
RandomForestRegressor,"fixed acidity, citric acid, residual sugar, chlorides, free sulfur dioxide, alcohol",0.40945539438674794
RandomForestRegressor,"fixed acidity, citric acid, residual sugar, chlorides, total sulfur dioxide, density",0.32287165050210287
RandomForestRegressor,"fixed acidity, citric acid, residual sugar, chlorides, total sulfur dioxide, pH",0.2655946442365462
RandomForestRegressor,"fixed acidity, citric acid, residual sugar, chlorides, total sulfur dioxide, sulphates",0.35204710325293975
RandomForestRegressor,"fixed acidity, citric acid, residual sugar, chlorides, total sulfur dioxide, alcohol",0.3913941120933825
RandomForestRegressor,"fixed acidity, citric acid, residual sugar, chlorides, density, pH",0.2538520642004978
RandomForestRegressor,"fixed acidity, citric acid, residual sugar, chlorides, density, sulphates",0.3606767487769291
RandomForestRegressor,"fixed acidity, citric acid, residual sugar, chlorides, density, alcohol",0.3672854862243583
RandomForestRegressor,"fixed acidity, citric acid, residual sugar, chlorides, pH, sulphates",0.2835092610076386
RandomForestRegressor,"fixed acidity, citric acid, residual sugar, chlorides, pH, alcohol",0.3565399021543214
RandomForestRegressor,"fixed acidity, citric acid, residual sugar, chlorides, sulphates, alcohol",0.3679847566732469
RandomForestRegressor,"fixed acidity, citric acid, residual sugar, free sulfur dioxide, total sulfur dioxide, density",0.2716798901381855
RandomForestRegressor,"fixed acidity, citric acid, residual sugar, free sulfur dioxide, total sulfur dioxide, pH",0.22894748948588117
RandomForestRegressor,"fixed acidity, citric acid, residual sugar, free sulfur dioxide, total sulfur dioxide, sulphates",0.3595484679426658
RandomForestRegressor,"fixed acidity, citric acid, residual sugar, free sulfur dioxide, total sulfur dioxide, alcohol",0.4043424255428718
RandomForestRegressor,"fixed acidity, citric acid, residual sugar, free sulfur dioxide, density, pH",0.2410350356192601
RandomForestRegressor,"fixed acidity, citric acid, residual sugar, free sulfur dioxide, density, sulphates",0.3392855548879925
RandomForestRegressor,"fixed acidity, citric acid, residual sugar, free sulfur dioxide, density, alcohol",0.4257303235773753
RandomForestRegressor,"fixed acidity, citric acid, residual sugar, free sulfur dioxide, pH, sulphates",0.3098513775641575
RandomForestRegressor,"fixed acidity, citric acid, residual sugar, free sulfur dioxide, pH, alcohol",0.40912251308900527
RandomForestRegressor,"fixed acidity, citric acid, residual sugar, free sulfur dioxide, sulphates, alcohol",0.4063479529654107
RandomForestRegressor,"fixed acidity, citric acid, residual sugar, total sulfur dioxide, density, pH",0.29156158269676424
RandomForestRegressor,"fixed acidity, citric acid, residual sugar, total sulfur dioxide, density, sulphates",0.4065654793579949
